## Page 5

عنوان	صفحه

۷-۴ یکتایی بی‌درروهای برگشت‌پذیر	۷۰
۸-۴ یخچال و تلمبهٔ گرما	۷۲
۹-۴ ماشینهای گرمایی واقعی	۷۴
۱-۹-۴ ماشین بنزینی	۷۵

۵. آنتروپی	۷۸
۱-۵ قضیهٔ کلاؤسیوس	۷۸
۲-۵ آنتروپی	۸۱
۳-۵ آنتروپی در تغییرات برگشت‌ناپذیر	۸۳
۴-۵ بیان قانون اول برحسب آنتروپی	۸۵
۵-۵ آنتروپی و پست‌شدن انرژی	۸۷
۶-۵ آنتروپی و نظم	۸۹
۱-۶-۵ ظرفیتهای گرمایی	۹۳
۲-۶-۵ بی‌هنجاریهای ظرفیت گرمایی	۹۴
۳-۶-۵ گرمای نهان	۹۶
۴-۶-۵ تغییر نظم از طریق تغییر شکل	۹۸

۶. قانون دوم به بیان کاراتئودوری	۹۹
۱-۶ تذکرات مقدماتی	۹۹
۲-۶ آنتروپی تجربی	۱۰۰
۳-۶ آنتروپی تجربی و گرما	۱۰۵
۴-۶ دمای ترمودینامیکی و آنتروپی	۱۰۶
۵-۶ تغییرات برگشت‌ناپذیر	۱۰۹
۶-۶ نتایج بعدی	۱۱۱

۷. پتانسیلهای ترمودینامیکی	۱۱۴
۱-۷ توابع پتانسیل	۱۱۴
۲-۷ تبدیل دیفرانسیلی لژاندر	۱۱۸
۳-۷ روابط ماکسول	۱۱۹
۴-۷ شرایط عمومی برای تعادل ترمودینامیکی	۱۲۲

پنج
